stationID,locationID,railroadSectionID,railwayLineName,operationCompany,stationName,longitude,latitude
eb03_10066,cv_stn10066,eb02_21529,富山都心線,富山地方鉄道,国際会議場前,36.6916155,137.2113675
eb03_10067,cv_stn10067,eb02_21531,富山都心線,富山地方鉄道,大手モール,36.689515,137.2113325
eb03_10068,cv_stn10068,eb02_21532,富山都心線,富山地方鉄道,グランドプラザ前,36.6888995,137.2137495
eb03_10069,cv_stn10069,eb02_21534,門司港レトロ観光線,平成筑豊鉄道,九州鉄道記念館,33.9444575,130.9626525
eb03_10070,cv_stn10070,eb02_21535,門司港レトロ観光線,平成筑豊鉄道,出光美術館,33.94772,130.965274
eb03_10071,cv_stn10071,eb02_21537,門司港レトロ観光線,平成筑豊鉄道,ノーフォーク広場,33.955883,130.9642845
eb03_10072,cv_stn10072,eb02_21538,門司港レトロ観光線,平成筑豊鉄道,関門海峡めかり,33.960593,130.968126
eb03_10073,cv_stn10073,eb02_12695,13号線副都心線,東京地下鉄,渋谷,35.65909867,139.7025843
eb03_10074,cv_stn10074,eb02_21541,13号線副都心線,東京地下鉄,明治神宮前,35.6682175,139.70525
eb03_10075,cv_stn10075,eb02_21543,13号線副都心線,東京地下鉄,新宿三丁目,35.690284,139.704586
eb03_10076,cv_stn10076,eb02_21545,13号線副都心線,東京地下鉄,東新宿,35.70010667,139.7078967
eb03_10077,cv_stn10077,eb02_21547,13号線副都心線,東京地下鉄,北参道,35.67823667,139.7056433
eb03_10078,cv_stn10078,eb02_21549,13号線副都心線,東京地下鉄,西早稲田,35.70799333,139.70916
eb03_10079,cv_stn10079,eb02_21552,13号線副都心線,東京地下鉄,雑司が谷,35.7202,139.714715
eb03_10080,cv_stn10080,eb02_21553,東西線,京都市,太秦天神川,35.01094,135.716055
eb03_10081,cv_stn10081,eb02_21554,東西線,京都市,西大路御池,35.010961,135.7306175
eb03_10082,cv_stn10082,eb02_21556,4号線,横浜市,日吉,35.553325,139.64684
eb03_10083,cv_stn10083,eb02_21557,4号線,横浜市,日吉本町,35.549913,139.633334
eb03_10084,cv_stn10084,eb02_21559,4号線,横浜市,高田,35.54955,139.62059
eb03_10085,cv_stn10085,eb02_21561,4号線,横浜市,東山田,35.55421,139.60604
eb03_10086,cv_stn10086,eb02_21563,4号線,横浜市,北山田,35.56109,139.5927467
eb03_10087,cv_stn10087,eb02_21566,4号線,横浜市,センター北,35.553005,139.57834
eb03_10088,cv_stn10088,eb02_21568,4号線,横浜市,センター南,35.545215,139.574515
eb03_10089,cv_stn10089,eb02_21569,4号線,横浜市,川和町,35.528445,139.548975
eb03_10090,cv_stn10090,eb02_21570,4号線,横浜市,中山,35.51474,139.540265
eb03_10091,cv_stn10091,eb02_21572,日暮里・舎人線,東京都,見沼代親水公園,35.814605,139.7707
eb03_10092,cv_stn10092,eb02_21574,日暮里・舎人線,東京都,舎人,35.80572,139.770135
eb03_10093,cv_stn10093,eb02_21657,日暮里・舎人線,東京都,舎人公園,35.796665,139.77012
eb03_10094,cv_stn10094,eb02_21576,日暮里・舎人線,東京都,西新井大師西,35.78116,139.77014
eb03_10095,cv_stn10095,eb02_21578,日暮里・舎人線,東京都,江北,35.773785,139.770345
eb03_10096,cv_stn10096,eb02_21580,日暮里・舎人線,東京都,高野,35.768255,139.77072
eb03_10097,cv_stn10097,eb02_21581,日暮里・舎人線,東京都,足立小台,35.754635,139.770205
eb03_10098,cv_stn10098,eb02_21583,日暮里・舎人線,東京都,谷在家,35.78868,139.7701
eb03_10099,cv_stn10099,eb02_21586,日暮里・舎人線,東京都,扇大橋,35.764135,139.77085
eb03_10100,cv_stn10100,eb02_21588,日暮里・舎人線,東京都,西日暮里,35.733685,139.76813
eb03_10101,cv_stn10101,eb02_21589,日暮里・舎人線,東京都,赤土小学校前,35.74306,139.76913
eb03_10102,cv_stn10102,eb02_21591,日暮里・舎人線,東京都,熊野前,35.748245,139.769925
eb03_10103,cv_stn10103,eb02_21593,日暮里・舎人線,東京都,日暮里,35.728795,139.77116
eb03_10104,cv_stn10104,eb02_21595,おおさか東線,西日本旅客鉄道,新加美,34.62727667,135.56815
eb03_10105,cv_stn10105,eb02_21597,おおさか東線,西日本旅客鉄道,JR長瀬,34.649965,135.570335
eb03_10106,cv_stn10106,eb02_21599,おおさか東線,西日本旅客鉄道,JR俊徳道,34.65853667,135.57246
eb03_10107,cv_stn10107,eb02_21601,おおさか東線,西日本旅客鉄道,JR河内永和,34.66433,135.572315
eb03_10108,cv_stn10108,eb02_21603,おおさか東線,西日本旅客鉄道,高井田中央,34.67885,135.572315
eb03_10109,cv_stn10109,eb02_21606,東海道線,東海旅客鉄道,南大高,35.054448,136.94872
eb03_10110,cv_stn10110,eb02_21607,しなの鉄道線,しなの鉄道,千曲,36.509205,138.141445
eb03_10111,cv_stn10111,eb02_21609,鹿児島線,九州旅客鉄道,広木,31.57699,130.5034533
eb03_10112,cv_stn10112,eb02_21610,鹿児島線,九州旅客鉄道,ししぶ,33.720925,130.457335
eb03_10113,cv_stn10113,eb02_21613,久大線,九州旅客鉄道,久留米高校前,33.298385,130.517095
eb03_10114,cv_stn10114,eb02_21615,川越線,東日本旅客鉄道,西大宮,35.92198333,139.5789667
eb03_10115,cv_stn10115,eb02_21616,南武線,東日本旅客鉄道,西府,35.670935,139.45739
eb03_10116,cv_stn10116,eb02_21619,東海道線,西日本旅客鉄道,桂川,34.96478167,135.7104133
eb03_10117,cv_stn10117,eb02_21620,いすみ線,いすみ鉄道,城見ヶ丘,35.29172,140.252465
eb03_10118,cv_stn10118,eb02_21623,西尾線,名古屋鉄道,南桜井,34.90600667,137.0769367
eb03_10119,cv_stn10119,eb02_21625,嵐山本線,京福電気鉄道,嵐電天神川,35.01018333,135.7148167
eb03_10120,cv_stn10120,eb02_21626,山陰線,西日本旅客鉄道,梶栗郷台地,34.01389,130.9236633
eb03_10121,cv_stn10121,eb02_21629,山陽線,西日本旅客鉄道,須磨海浜公園,34.64716,135.126605
eb03_10122,cv_stn10122,eb02_21631,山陽線,西日本旅客鉄道,はりま勝原,34.81016,134.6142833
eb03_10123,cv_stn10123,eb02_21633,山陽線,西日本旅客鉄道,西川原,34.678935,133.9380225
eb03_10124,cv_stn10124,eb02_21635,山陽線,西日本旅客鉄道,和木,34.20406,132.22771
eb03_10125,cv_stn10125,eb02_21637,東海道線,西日本旅客鉄道,島本,34.88036667,135.66251
eb03_10126,cv_stn10126,eb02_21638,高山線,西日本旅客鉄道,婦中鵜坂,36.67781333,137.1686133
eb03_10127,cv_stn10127,eb02_21641,日田彦山線,九州旅客鉄道,歓遊舎ひこさん,33.55510333,130.85928
eb03_10128,cv_stn10128,eb02_21643,土讃線,四国旅客鉄道,小村神社前,33.53983,133.392675
eb03_10129,cv_stn10129,eb02_21644,武蔵野線,東日本旅客鉄道,越谷レイクタウン,35.876115,139.82253
eb03_10130,cv_stn10130,eb02_21647,多賀線,近江鉄道,スクリーン,35.233305,136.267175
eb03_10131,cv_stn10131,eb02_21648,高岡軌道線,万葉線,末広町,36.744485,137.013445
eb03_10132,cv_stn10132,eb02_21651,フラワー長井線,山形鉄道,四季の郷,38.186005,140.07862
eb03_10133,cv_stn10133,eb02_21653,三国芦原線,えちぜん鉄道,八ツ島,36.08619,136.205885
eb03_10134,cv_stn10134,eb02_21655,三国芦原線,えちぜん鉄道,日華化学前,36.08077667,136.20648
eb03_10135,cv_stn10135,eb02_21659,清輝橋線,岡山電気軌道,東中央町,34.65466,133.926255
eb03_10136,cv_stn10136,eb02_21660,4号線,横浜市,都筑ふれあいの丘,35.536556,139.561301
eb03_10137,cv_stn10137,eb02_21662,湊線,ひたちなか海浜鉄道,勝田,36.3932665,140.5243675
eb03_10138,cv_stn10138,eb02_21677,湊線,ひたちなか海浜鉄道,日工前,36.3881275,140.5246495
eb03_10139,cv_stn10139,eb02_21675,湊線,ひたちなか海浜鉄道,金上,36.3824255,140.5339245
eb03_10140,cv_stn10140,eb02_21673,湊線,ひたちなか海浜鉄道,中根,36.367452,140.5620945
eb03_10141,cv_stn10141,eb02_21671,湊線,ひたちなか海浜鉄道,那珂湊,36.3455345,140.5876625
eb03_10142,cv_stn10142,eb02_21669,湊線,ひたちなか海浜鉄道,殿山,36.349435,140.6010115
eb03_10143,cv_stn10143,eb02_21667,湊線,ひたちなか海浜鉄道,平磯,36.3575145,140.607584
eb03_10144,cv_stn10144,eb02_21665,湊線,ひたちなか海浜鉄道,磯崎,36.3777495,140.617934
eb03_10145,cv_stn10145,eb02_21663,湊線,ひたちなか海浜鉄道,阿字ヶ浦,36.383434,140.612345
eb03_10146,cv_stn10146,eb02_7496,境線,西日本旅客鉄道,米子空港,35.501987,133.247889
eb03_10147,cv_stn10147,eb02_21679,明知線,明知鉄道,極楽,35.379659,137.432512
eb03_10148,cv_stn10148,eb02_21681,天竜浜名湖線,天竜浜名湖鉄道,大森,34.7378685,137.509702
eb03_10149,cv_stn10149,eb02_21683,本線,近江鉄道,ひこね芹川,35.2621485,136.2611795
eb03_10150,cv_stn10150,eb02_21685,東海道線,東日本旅客鉄道,武蔵小杉,35.57479764,139.6634105
eb03_10151,cv_stn10151,eb02_21688,福武線,福井鉄道,スポーツ公園,35.9194835,136.168225
eb03_10152,cv_stn10152,eb02_21690,京都線,阪急電鉄,摂津市,34.786369,135.553684
eb03_10153,cv_stn10153,eb02_21691,鹿児島線,九州旅客鉄道,新宮中央,33.7120255,130.4494425
eb03_10154,cv_stn10154,eb02_21693,天神大牟田線,西日本鉄道,紫,33.49603,130.522563
eb03_10155,cv_stn10155,eb02_21696,鹿児島線,九州旅客鉄道,神村学園前,31.703809,130.284002
eb03_10156,cv_stn10156,eb02_21699,成田空港線,京成電鉄,成田湯川,35.79956,140.2914805
eb03_10157,cv_stn10157,eb02_21701,北リアス線,三陸鉄道,山口団地,39.6462955,141.933242
eb03_10158,cv_stn10158,eb02_21703,長崎線,九州旅客鉄道,新鳥栖,33.36969115,130.4909265
eb03_10159,cv_stn10159,eb02_21704,鹿児島線,九州旅客鉄道,筑後船小屋,33.1780695,130.491693
eb03_10160,cv_stn10160,eb02_21706,6号線桜通線,名古屋市,鳴子北,35.1027,136.966165
eb03_10161,cv_stn10161,eb02_21708,6号線桜通線,名古屋市,相生山,35.10251367,136.976236
eb03_10162,cv_stn10162,eb02_21710,6号線桜通線,名古屋市,神沢,35.0986318,136.9893992
eb03_10163,cv_stn10163,eb02_21712,6号線桜通線,名古屋市,徳重,35.09488833,136.9976267
eb03_10164,cv_stn10164,eb02_21714,東北新幹線,東日本旅客鉄道,七戸十和田,40.719931,141.1539085
eb03_10165,cv_stn10165,eb02_21716,東北新幹線,東日本旅客鉄道,新青森,40.82779875,140.6934798
eb03_10166,cv_stn10166,eb02_21720,九州新幹線,九州旅客鉄道,熊本,32.79053867,130.688686
eb03_10167,cv_stn10167,eb02_21722,九州新幹線,九州旅客鉄道,新玉名,32.942709,130.5734083
eb03_10168,cv_stn10168,eb02_21723,九州新幹線,九州旅客鉄道,新大牟田,33.071316,130.4887535
eb03_10169,cv_stn10169,eb02_21726,九州新幹線,九州旅客鉄道,筑後船小屋,33.17797733,130.492433
eb03_10170,cv_stn10170,eb02_21727,九州新幹線,九州旅客鉄道,久留米,33.320653,130.501079
eb03_10171,cv_stn10171,eb02_21729,九州新幹線,九州旅客鉄道,新鳥栖,33.37052667,130.4910423
eb03_10172,cv_stn10172,eb02_8356,九州新幹線,九州旅客鉄道,博多,33.589575,130.421175
eb03_10173,cv_stn10173,eb02_2427,養老線,養老鉄道,桑名,35.066975,136.683375
eb03_10174,cv_stn10174,eb02_21735,養老線,養老鉄道,播磨,35.0782655,136.6746235
eb03_10175,cv_stn10175,eb02_21737,養老線,養老鉄道,下深谷,35.0960565,136.661554
eb03_10176,cv_stn10176,eb02_21739,養老線,養老鉄道,下野代,35.115898,136.64723
eb03_10177,cv_stn10177,eb02_21740,養老線,養老鉄道,多度,35.13374333,136.6406633
eb03_10178,cv_stn10178,eb02_21743,養老線,養老鉄道,美濃松山,35.1609065,136.6326825
eb03_10179,cv_stn10179,eb02_21744,養老線,養老鉄道,石津,35.180368,136.627481
eb03_10180,cv_stn10180,eb02_21747,養老線,養老鉄道,美濃山崎,35.19872433,136.621537
eb03_10181,cv_stn10181,eb02_21748,養老線,養老鉄道,駒野,35.22374267,136.6034223
eb03_10182,cv_stn10182,eb02_21751,養老線,養老鉄道,美濃津屋,35.25139167,136.566718
eb03_10183,cv_stn10183,eb02_21753,養老線,養老鉄道,養老,35.286769,136.5568415
eb03_10184,cv_stn10184,eb02_21755,養老線,養老鉄道,美濃高田,35.3091,136.5636493
eb03_10185,cv_stn10185,eb02_21756,養老線,養老鉄道,烏江,35.305543,136.5916667
eb03_10186,cv_stn10186,eb02_21759,養老線,養老鉄道,大外羽,35.31498467,136.5974227
eb03_10187,cv_stn10187,eb02_21761,養老線,養老鉄道,友江,35.32639033,136.6006657
eb03_10188,cv_stn10188,eb02_21763,養老線,養老鉄道,美濃青柳,35.3436155,136.60388
eb03_10189,cv_stn10189,eb02_21765,養老線,養老鉄道,西大垣,35.36029,136.603384
eb03_10190,cv_stn10190,eb02_21766,養老線,養老鉄道,大垣,35.36667133,136.616509
eb03_10191,cv_stn10191,eb02_21770,養老線,養老鉄道,室,35.36726933,136.6061847
eb03_10192,cv_stn10192,eb02_21771,養老線,養老鉄道,北大垣,35.375289,136.6018597
eb03_10193,cv_stn10193,eb02_21774,養老線,養老鉄道,東赤坂,35.3941585,136.6009795
eb03_10194,cv_stn10194,eb02_21776,養老線,養老鉄道,広神戸,35.41981667,136.6021427
eb03_10195,cv_stn10195,eb02_21778,養老線,養老鉄道,北神戸,35.430056,136.5944685
eb03_10196,cv_stn10196,eb02_21780,養老線,養老鉄道,池野,35.436507,136.578687
eb03_10197,cv_stn10197,eb02_21782,養老線,養老鉄道,北池野,35.443371,136.57372
eb03_10198,cv_stn10198,eb02_21784,養老線,養老鉄道,美濃本郷,35.4499185,136.571801
eb03_10199,cv_stn10199,eb02_21785,養老線,養老鉄道,揖斐,35.4702865,136.5725065
eb03_10200,cv_stn10200,eb02_21786,別府ラクテンチケーブル線,岡本製作所,雲泉寺,33.2748045,131.4855235
eb03_10201,cv_stn10201,eb02_21788,別府ラクテンチケーブル線,岡本製作所,乙原,33.274446,131.4829915
eb03_10202,cv_stn10202,eb02_2191,伊賀線,伊賀鉄道,伊賀神戸,34.67399,136.15207
eb03_10203,cv_stn10203,eb02_21791,伊賀線,伊賀鉄道,比土,34.6762445,136.160627
eb03_10204,cv_stn10204,eb02_21793,伊賀線,伊賀鉄道,上林,34.6952205,136.1610685
eb03_10205,cv_stn10205,eb02_21795,伊賀線,伊賀鉄道,丸山,34.7043905,136.1574635
eb03_10206,cv_stn10206,eb02_21797,伊賀線,伊賀鉄道,依那古,34.7154155,136.1531005
eb03_10207,cv_stn10207,eb02_21800,伊賀線,伊賀鉄道,市部,34.726461,136.148748
eb03_10208,cv_stn10208,eb02_21802,伊賀線,伊賀鉄道,猪田道,34.735076,136.140509
eb03_10209,cv_stn10209,eb02_21804,伊賀線,伊賀鉄道,桑町,34.7541595,136.136604
eb03_10210,cv_stn10210,eb02_21805,伊賀線,伊賀鉄道,茅町,34.761552,136.135697
eb03_10211,cv_stn10211,eb02_21807,伊賀線,伊賀鉄道,広小路,34.76703975,136.1344878
eb03_10212,cv_stn10212,eb02_21809,伊賀線,伊賀鉄道,上野市,34.7676755,136.1294415
eb03_10213,cv_stn10213,eb02_21811,伊賀線,伊賀鉄道,西大手,34.7669125,136.1246625
eb03_10214,cv_stn10214,eb02_21814,伊賀線,伊賀鉄道,新居,34.78633675,136.1159013
eb03_10215,cv_stn10215,eb02_21815,伊賀線,伊賀鉄道,伊賀上野,34.7889085,136.1228115
eb03_10216,cv_stn10216,eb02_18569,富山都心線,富山地方鉄道,丸の内,36.692505,137.20894
eb03_10217,cv_stn10217,eb02_18700,富山都心線,富山地方鉄道,西町,36.689195,137.215675
eb03_10218,cv_stn10218,eb02_21818,空港線,京浜急行電鉄,羽田空港国際線ターミナル,35.54498,139.7670665
eb03_10219,cv_stn10219,eb02_21821,東京モノレール羽田線,東京モノレール,羽田空港国際線ビル,35.54391275,139.7685835
eb03_10220,cv_stn10220,eb02_21825,常総線,関東鉄道,ゆめみ野,35.9209135,140.0351315
eb03_10221,cv_stn10221,eb02_21827,福武線,福井鉄道,泰澄の里,35.9992125,136.1981625
eb03_10222,cv_stn10222,eb02_21829,福武線,福井鉄道,清明,36.02227,136.209426
eb03_10223,cv_stn10223,eb02_21830,鹿児島線,九州旅客鉄道,富合,32.7137015,130.6728365
eb03_10224,cv_stn10224,eb02_1519,成田空港線,京成電鉄,成田空港,35.765725,140.386305
eb03_10225,cv_stn10225,eb02_1518,成田空港線,京成電鉄,空港第2ビル,35.77296,140.38761
eb03_10226,cv_stn10226,eb02_2191,大阪線,近畿日本鉄道,伊賀神戸,34.67399,136.15207
eb03_10227,cv_stn10227,eb02_20249,成田空港線,京成電鉄,印旛日本医大,35.7878155,140.202759
eb03_10228,cv_stn10228,eb02_20263,成田空港線,京成電鉄,千葉ニュータウン中央,35.80022,140.1162625
eb03_10229,cv_stn10229,eb02_20264,成田空港線,京成電鉄,新鎌ヶ谷,35.77961,139.998355
eb03_10230,cv_stn10230,eb02_20278,成田空港線,京成電鉄,東松戸,35.76981,139.942775
eb03_10231,cv_stn10231,eb02_1480,成田空港線,京成電鉄,京成高砂,35.75087,139.86659
eb03_10232,cv_stn10232,eb02_21852,青函トンネル竜飛斜坑線,一般財団法人青函トンネル記念館,体験坑道,41.2565,140.347638
eb03_10233,cv_stn10233,eb02_21854,青函トンネル竜飛斜坑線,一般財団法人青函トンネル記念館,青函トンネル記念館,41.254315,140.347081
eb03_10234,cv_stn10234,eb02_13984,東海道線,東日本旅客鉄道,東神奈川,35.477875,139.633165
eb03_10235,cv_stn10235,eb02_21858,小牧線,名古屋鉄道,小牧原,35.2986795,136.935344
